Date, Open, High, Low, Close
01/05/21, 6571.88, 6622.77, 6544.25, 6612.25
01/04/21, 6460.52, 6662.66, 6460.52, 6571.88
12/31/20, 6555.82, 6555.82, 6439.41, 6460.52
12/30/20, 6602.65, 6622.98, 6552.46, 6555.82
12/29/20, 6502.11, 6676.60, 6502.11, 6602.65
12/24/20, 6495.75, 6530.28, 6479.59, 6502.11
12/23/20, 6453.16, 6497.28, 6431.21, 6495.75
12/22/20, 6416.32, 6457.47, 6382.61, 6453.16
12/21/20, 6529.18, 6529.18, 6315.34, 6416.32
12/18/20, 6551.06, 6604.54, 6518.25, 6529.18
12/17/20, 6570.91, 6601.63, 6551.06, 6551.06
12/16/20, 6513.32, 6598.42, 6513.32, 6570.91
12/15/20, 6531.83, 6558.24, 6484.04, 6513.32
12/14/20, 6546.75, 6583.70, 6524.70, 6531.83
12/11/20, 6599.76, 6607.44, 6520.54, 6546.75
12/10/20, 6564.29, 6640.74, 6561.11, 6599.76
12/09/20, 6558.82, 6623.03, 6558.82, 6564.29
12/08/20, 6555.39, 6567.59, 6518.37, 6558.82
12/07/20, 6550.23, 6601.11, 6519.82, 6555.39
12/04/20, 6490.27, 6559.18, 6489.75, 6550.23
12/03/20, 6463.39, 6491.49, 6430.27, 6490.27
12/02/20, 6384.73, 6468.64, 6367.51, 6463.39
12/01/20, 6266.19, 6400.24, 6263.60, 6384.73
11/30/20, 6367.58, 6404.02, 6266.19, 6266.19
11/27/20, 6362.93, 6375.91, 6302.22, 6367.58
11/26/20, 6391.09, 6412.65, 6349.53, 6362.93
11/25/20, 6432.17, 6468.73, 6375.25, 6391.09
11/24/20, 6333.84, 6432.42, 6333.72, 6432.17
11/23/20, 6351.45, 6392.08, 6325.24, 6333.84
11/20/20, 6334.35, 6386.70, 6324.60, 6351.45
11/19/20, 6385.24, 6385.24, 6314.26, 6334.35
11/18/20, 6365.33, 6395.91, 6326.74, 6385.24
11/17/20, 6421.29, 6424.53, 6308.99, 6365.33
11/16/20, 6316.39, 6463.51, 6316.39, 6421.29
11/13/20, 6338.94, 6338.97, 6280.40, 6316.39
11/12/20, 6382.10, 6382.10, 6295.79, 6338.94
11/11/20, 6296.85, 6397.28, 6293.21, 6382.10
11/10/20, 6186.29, 6307.00, 6180.47, 6296.85
11/09/20, 5910.02, 6258.31, 5910.02, 6186.29
11/06/20, 5906.18, 5950.22, 5858.48, 5910.02
11/05/20, 5883.26, 5933.05, 5881.87, 5906.18
11/04/20, 5786.77, 5885.67, 5711.21, 5883.26
11/03/20, 5654.97, 5787.61, 5654.97, 5786.77
11/02/20, 5577.27, 5665.30, 5554.73, 5654.97
10/30/20, 5581.75, 5593.40, 5534.08, 5577.27
10/29/20, 5582.80, 5616.58, 5534.66, 5581.75
10/28/20, 5728.99, 5728.99, 5525.52, 5582.80
10/27/20, 5792.01, 5806.23, 5728.18, 5728.99
10/26/20, 5860.28, 5868.36, 5782.37, 5792.01
10/23/20, 5785.65, 5885.38, 5781.78, 5860.28
10/22/20, 5776.50, 5796.44, 5716.40, 5785.65
10/21/20, 5889.22, 5903.38, 5769.62, 5776.50
10/20/20, 5884.65, 5915.47, 5861.81, 5889.22
10/19/20, 5919.58, 5959.67, 5871.95, 5884.65
10/16/20, 5832.52, 5933.81, 5832.52, 5919.58
10/15/20, 5935.06, 5935.06, 5786.20, 5832.52
10/14/20, 5969.71, 6009.81, 5926.49, 5935.06
10/13/20, 6001.38, 6008.04, 5949.97, 5969.71
10/12/20, 6016.65, 6037.08, 5995.11, 6001.38
10/09/20, 5978.03, 6040.47, 5978.03, 6016.65
10/08/20, 5946.25, 6004.15, 5929.41, 5978.03
10/07/20, 5949.94, 5977.15, 5929.16, 5946.25
10/06/20, 5942.94, 5971.48, 5903.40, 5949.94
10/05/20, 5902.12, 5974.22, 5902.12, 5942.94
10/02/20, 5879.45, 5902.12, 5809.61, 5902.12
10/01/20, 5866.10, 5925.77, 5849.82, 5879.45
09/30/20, 5897.50, 5931.37, 5854.46, 5866.10
09/29/20, 5927.93, 5927.93, 5862.93, 5897.50
09/28/20, 5842.67, 5954.42, 5842.67, 5927.93
09/25/20, 5822.78, 5843.72, 5771.49, 5842.67
09/24/20, 5899.26, 5899.26, 5805.28, 5822.78
09/23/20, 5829.46, 5974.88, 5829.46, 5899.26
09/22/20, 5804.29, 5871.28, 5794.54, 5829.46
09/21/20, 6007.05, 6007.05, 5779.24, 5804.29
09/18/20, 6049.92, 6055.24, 6006.28, 6007.05
09/17/20, 6078.48, 6078.48, 5998.69, 6049.92
09/16/20, 6105.54, 6119.24, 6057.63, 6078.48
09/15/20, 6026.25, 6123.69, 6026.17, 6105.54
09/14/20, 6032.09, 6080.02, 6011.83, 6026.25
09/11/20, 6003.32, 6057.69, 5992.93, 6032.09
09/10/20, 6012.84, 6028.76, 5950.62, 6003.32
09/09/20, 5930.30, 6031.25, 5923.43, 6012.84
09/08/20, 5937.40, 5985.26, 5868.87, 5930.30
09/07/20, 5799.08, 5946.93, 5798.47, 5937.40
09/04/20, 5850.86, 5904.16, 5778.40, 5799.08
09/03/20, 5940.95, 5996.24, 5838.02, 5850.86
09/02/20, 5862.05, 5974.70, 5862.05, 5940.95
09/01/20, 5963.57, 5972.52, 5824.04, 5862.05
08/28/20, 5999.99, 6033.04, 5962.46, 5963.57
08/27/20, 6045.60, 6062.52, 5999.99, 5999.99
08/26/20, 6037.01, 6050.81, 5992.22, 6045.60
08/25/20, 6104.73, 6173.48, 6032.10, 6037.01
08/24/20, 6001.89, 6119.80, 6001.89, 6104.73
08/21/20, 6013.34, 6036.51, 5948.80, 6001.89
08/20/20, 6111.98, 6111.98, 6009.61, 6013.34
08/19/20, 6076.62, 6114.83, 6045.00, 6111.98
08/18/20, 6127.44, 6162.66, 6062.58, 6076.62
08/17/20, 6090.04, 6140.19, 6061.46, 6127.44
08/14/20, 6185.62, 6185.62, 6036.13, 6090.04
08/13/20, 6280.12, 6280.12, 6185.62, 6185.62
08/12/20, 6154.34, 6297.20, 6151.64, 6280.12
08/11/20, 6050.59, 6206.00, 6050.59, 6154.34
08/10/20, 6032.18, 6099.48, 6028.49, 6050.59
08/07/20, 6026.94, 6046.02, 5996.73, 6032.18
08/06/20, 6104.72, 6104.72, 5980.44, 6026.94
08/05/20, 6036.00, 6111.50, 6036.00, 6104.72
08/04/20, 6032.85, 6056.47, 5986.77, 6036.00
08/03/20, 5897.76, 6038.76, 5857.06, 6032.85
07/31/20, 5989.99, 6046.33, 5897.76, 5897.76
07/30/20, 6131.46, 6145.83, 5924.70, 5989.99
07/29/20, 6129.26, 6155.06, 6116.72, 6131.46
07/28/20, 6104.88, 6149.86, 6083.65, 6129.26
07/27/20, 6123.82, 6127.62, 6086.64, 6104.88
07/24/20, 6211.44, 6211.44, 6099.06, 6123.82
07/23/20, 6207.10, 6273.63, 6202.90, 6211.44
07/22/20, 6269.73, 6270.96, 6197.45, 6207.10
07/21/20, 6261.52, 6315.68, 6253.90, 6269.73
07/20/20, 6290.30, 6297.64, 6222.15, 6261.52
07/17/20, 6250.69, 6293.68, 6230.01, 6290.30
07/16/20, 6292.65, 6296.78, 6227.33, 6250.69
07/15/20, 6179.75, 6323.55, 6179.75, 6292.65
07/14/20, 6176.19, 6179.75, 6093.23, 6179.75
07/13/20, 6095.41, 6187.33, 6095.41, 6176.19
07/10/20, 6049.62, 6108.20, 6003.19, 6095.41
07/09/20, 6156.16, 6176.84, 6040.26, 6049.62
07/08/20, 6189.90, 6208.43, 6144.52, 6156.16
07/07/20, 6285.94, 6285.94, 6179.97, 6189.90
07/06/20, 6157.30, 6304.19, 6157.30, 6285.94
07/03/20, 6240.36, 6262.71, 6137.09, 6157.30
07/02/20, 6157.96, 6258.60, 6157.96, 6240.36
07/01/20, 6169.74, 6201.95, 6084.48, 6157.96
06/30/20, 6225.77, 6237.51, 6146.98, 6169.74
06/29/20, 6159.30, 6251.96, 6122.95, 6225.77
06/26/20, 6147.14, 6262.13, 6147.14, 6159.30
06/25/20, 6123.69, 6162.44, 6029.25, 6147.14
06/24/20, 6320.12, 6320.12, 6123.69, 6123.69
06/23/20, 6244.62, 6342.19, 6244.62, 6320.12
06/22/20, 6292.60, 6309.04, 6225.53, 6244.62
06/19/20, 6224.07, 6319.81, 6224.07, 6292.60
06/18/20, 6253.25, 6284.96, 6184.88, 6224.07
06/17/20, 6242.79, 6309.74, 6233.24, 6253.25
06/16/20, 6064.70, 6299.02, 6064.70, 6242.79
06/15/20, 6105.18, 6105.18, 5952.44, 6064.70
06/12/20, 6076.70, 6184.29, 5993.20, 6105.18
06/11/20, 6329.13, 6329.13, 6076.70, 6076.70
06/10/20, 6335.72, 6387.35, 6293.83, 6329.13
06/09/20, 6472.59, 6475.01, 6325.07, 6335.72
06/08/20, 6484.30, 6511.84, 6423.06, 6472.59
06/05/20, 6341.44, 6489.99, 6341.44, 6484.30
06/04/20, 6382.41, 6402.57, 6314.59, 6341.44
06/03/20, 6220.14, 6394.70, 6220.14, 6382.41
06/02/20, 6166.42, 6238.25, 6165.05, 6220.14
06/01/20, 6076.60, 6179.34, 6076.60, 6166.42
05/29/20, 6218.79, 6218.79, 6060.16, 6076.60
05/28/20, 6144.25, 6234.04, 6144.25, 6218.79
05/27/20, 6067.76, 6167.96, 6067.76, 6144.25
05/26/20, 5993.28, 6130.12, 5993.28, 6067.76
05/22/20, 6015.25, 6015.25, 5888.58, 5993.28
05/21/20, 6067.16, 6093.74, 6004.10, 6015.25
05/20/20, 6002.23, 6074.46, 5961.56, 6067.16
05/19/20, 6048.59, 6111.96, 5965.10, 6002.23
05/18/20, 5799.77, 6058.17, 5799.61, 6048.59
05/15/20, 5741.54, 5837.88, 5741.54, 5799.77
05/14/20, 5904.05, 5904.05, 5661.14, 5741.54
05/13/20, 5994.77, 5994.77, 5893.35, 5904.05
05/12/20, 5939.73, 6012.98, 5911.37, 5994.77
05/11/20, 5935.98, 5999.13, 5898.32, 5939.73
05/07/20, 5853.76, 5941.86, 5853.60, 5935.98
05/06/20, 5849.42, 5897.44, 5839.57, 5853.76
05/05/20, 5753.78, 5869.45, 5753.78, 5849.42
05/04/20, 5763.06, 5792.85, 5702.03, 5753.78
05/01/20, 5901.21, 5901.21, 5746.06, 5763.06
04/30/20, 6115.25, 6151.58, 5897.91, 5901.21
04/29/20, 5958.50, 6129.60, 5950.83, 6115.25
04/28/20, 5846.79, 5977.76, 5835.92, 5958.50
04/27/20, 5752.23, 5855.61, 5752.23, 5846.79
04/24/20, 5826.61, 5827.24, 5728.80, 5752.23
04/23/20, 5770.63, 5843.61, 5735.93, 5826.61
04/22/20, 5641.03, 5777.06, 5641.03, 5770.63
04/21/20, 5812.83, 5812.83, 5641.03, 5641.03
04/20/20, 5786.96, 5823.93, 5707.73, 5812.83
04/17/20, 5628.43, 5839.33, 5628.43, 5786.96
04/16/20, 5597.65, 5657.63, 5577.78, 5628.43
04/15/20, 5791.31, 5791.71, 5576.35, 5597.65
04/14/20, 5842.66, 5894.71, 5778.98, 5791.31
04/13/20, 5842.66, 5842.66, 5842.66, 5842.66
04/10/20, 5842.66, 5842.66, 5842.66, 5842.66
04/09/20, 5677.73, 5842.66, 5677.68, 5842.66
04/08/20, 5704.45, 5704.45, 5589.73, 5677.73
04/07/20, 5582.39, 5780.21, 5582.39, 5704.45
04/06/20, 5415.50, 5590.58, 5415.50, 5582.39
04/03/20, 5480.22, 5486.29, 5396.66, 5415.50
04/02/20, 5454.57, 5552.36, 5395.07, 5480.22
04/01/20, 5671.96, 5671.96, 5414.72, 5454.57
03/31/20, 5563.74, 5702.66, 5545.85, 5671.96
03/30/20, 5510.33, 5567.20, 5351.84, 5563.74
03/27/20, 5815.73, 5815.73, 5407.06, 5510.33
03/26/20, 5688.20, 5815.73, 5503.35, 5815.73
03/25/20, 5446.01, 5741.42, 5400.47, 5688.20
03/24/20, 4993.89, 5446.01, 4993.89, 5446.01
03/23/20, 5190.78, 5194.83, 4922.76, 4993.89
03/20/20, 5151.61, 5419.30, 5151.61, 5190.78
03/19/20, 5080.58, 5181.04, 4942.37, 5151.61
03/18/20, 5294.90, 5294.90, 5006.20, 5080.58
03/17/20, 5151.08, 5308.95, 4978.84, 5294.90
03/16/20, 5366.11, 5366.11, 4898.79, 5151.08
03/13/20, 5237.48, 5696.48, 5237.48, 5366.11
03/12/20, 5876.52, 5876.52, 5237.48, 5237.48
03/11/20, 5960.23, 6088.50, 5860.75, 5876.52
03/10/20, 5965.77, 6231.06, 5927.85, 5960.23
03/09/20, 6462.55, 6462.55, 5891.56, 5965.77
03/06/20, 6705.43, 6705.43, 6431.44, 6462.55
03/05/20, 6815.59, 6834.12, 6662.61, 6705.43
03/04/20, 6718.20, 6856.27, 6700.23, 6815.59
03/03/20, 6654.89, 6846.28, 6654.89, 6718.20
03/02/20, 6580.61, 6775.18, 6496.01, 6654.89
02/28/20, 6796.40, 6796.40, 6460.08, 6580.61
02/27/20, 7042.47, 7042.47, 6729.99, 6796.40
02/26/20, 7017.88, 7044.66, 6871.85, 7042.47
02/25/20, 7156.83, 7198.23, 7004.94, 7017.88
02/24/20, 7403.92, 7403.92, 7114.45, 7156.83
02/21/20, 7436.64, 7436.70, 7370.63, 7403.92
02/20/20, 7457.02, 7480.49, 7436.64, 7436.64
02/19/20, 7382.01, 7462.01, 7382.01, 7457.02
02/18/20, 7433.25, 7433.25, 7353.41, 7382.01
02/17/20, 7409.13, 7449.95, 7409.13, 7433.25
02/14/20, 7452.03, 7472.85, 7403.69, 7409.13
02/13/20, 7534.37, 7534.37, 7406.94, 7452.03
02/12/20, 7499.44, 7547.65, 7499.01, 7534.37
02/11/20, 7446.88, 7499.44, 7499.44, 7499.44
02/10/20, 7466.70, 7466.70, 7427.85, 7446.88
02/07/20, 7504.79, 7506.26, 7441.14, 7466.70
02/06/20, 7482.48, 7533.57, 7482.48, 7504.79
02/05/20, 7439.82, 7512.41, 7408.45, 7482.48
02/04/20, 7326.31, 7442.08, 7326.31, 7439.82
02/03/20, 7286.01, 7359.98, 7285.16, 7326.31
01/31/20, 7381.96, 7398.34, 7275.03, 7286.01
01/30/20, 7483.57, 7483.57, 7357.62, 7381.96
01/29/20, 7480.69, 7514.73, 7462.21, 7483.57
01/28/20, 7412.05, 7491.44, 7410.37, 7480.69
01/27/20, 7585.98, 7585.98, 7392.83, 7412.05
01/24/20, 7507.67, 7642.21, 7507.59, 7585.98
01/23/20, 7571.92, 7572.13, 7503.17, 7507.67
01/22/20, 7610.70, 7637.35, 7563.52, 7571.92
01/21/20, 7651.44, 7651.44, 7550.47, 7610.70
01/20/20, 7674.56, 7682.77, 7639.62, 7651.44
01/17/20, 7609.81, 7689.67, 7609.81, 7674.56
01/16/20, 7642.80, 7653.58, 7595.31, 7609.81
01/15/20, 7622.35, 7642.80, 7609.44, 7642.80
01/14/20, 7617.60, 7650.69, 7588.81, 7622.35
01/13/20, 7587.85, 7635.77, 7582.51, 7617.60
01/10/20, 7598.12, 7631.96, 7585.07, 7587.85
01/09/20, 7574.93, 7627.76, 7574.93, 7598.12
01/08/20, 7573.85, 7579.48, 7524.96, 7574.93
01/07/20, 7575.34, 7604.59, 7562.14, 7573.85
01/06/20, 7622.40, 7622.40, 7528.08, 7575.34
01/03/20, 7604.30, 7626.41, 7551.00, 7622.40
01/02/20, 7542.44, 7624.78, 7542.44, 7604.30
01/01/20, 7542.44, 7587.41, 7532.38, 7542.44
12/31/19, 7587.05, 7587.41, 7532.38, 7542.44
12/30/19, 7644.90, 7644.90, 7587.05, 7587.05
12/27/19, 7632.24, 7665.40, 7622.46, 7644.90
12/26/19, 7632.24, 7632.24, 7632.24, 7632.24
12/25/19, 7632.24, 7636.16, 7608.22, 7632.24
12/24/19, 7623.59, 7636.16, 7608.22, 7632.24
12/23/19, 7582.48, 7628.20, 7559.63, 7623.59
12/20/19, 7573.82, 7599.52, 7564.59, 7582.48
12/19/19, 7540.75, 7575.90, 7526.10, 7573.82
12/18/19, 7525.28, 7557.05, 7515.17, 7540.75
12/17/19, 7519.05, 7537.66, 7497.15, 7525.28
12/16/19, 7353.44, 7552.65, 7353.18, 7519.05
12/13/19, 7273.47, 7429.04, 7223.42, 7353.44
12/12/19, 7216.25, 7307.36, 7216.08, 7273.47
12/11/19, 7213.76, 7250.67, 7195.49, 7216.25
12/10/19, 7233.90, 7234.40, 7137.84, 7213.76
12/09/19, 7239.66, 7255.73, 7217.80, 7233.90
12/06/19, 7137.85, 7241.50, 7137.85, 7239.66
12/05/19, 7188.50, 7194.78, 7131.16, 7137.85
12/04/19, 7158.76, 7190.04, 7139.91, 7188.50
12/03/19, 7285.94, 7285.94, 7134.93, 7158.76
12/02/19, 7346.53, 7400.27, 7277.02, 7285.94
11/29/19, 7416.43, 7421.40, 7346.53, 7346.53
11/28/19, 7429.78, 7429.78, 7385.32, 7416.43
11/27/19, 7403.14, 7446.00, 7400.38, 7429.78
11/26/19, 7396.29, 7421.30, 7384.96, 7403.14
11/25/19, 7326.81, 7401.78, 7326.81, 7396.29
11/22/19, 7238.55, 7343.26, 7238.47, 7326.81
11/21/19, 7262.49, 7262.49, 7197.33, 7238.55
11/20/19, 7323.80, 7323.80, 7219.11, 7262.49
11/19/19, 7307.70, 7404.47, 7307.70, 7323.80
11/18/19, 7302.94, 7335.36, 7293.40, 7307.70
11/15/19, 7292.76, 7335.55, 7243.15, 7302.94
11/14/19, 7351.21, 7351.28, 7292.76, 7292.76
11/13/19, 7365.44, 7365.44, 7301.71, 7351.21
11/12/19, 7328.54, 7390.00, 7328.18, 7365.44
11/11/19, 7359.38, 7359.38, 7258.46, 7328.54
11/08/19, 7406.41, 7406.83, 7349.12, 7359.38
11/07/19, 7396.65, 7431.94, 7396.00, 7406.41
11/06/19, 7388.08, 7398.78, 7363.55, 7396.65
11/05/19, 7369.69, 7402.79, 7369.61, 7388.08
11/04/19, 7302.42, 7392.73, 7302.42, 7369.69
11/01/19, 7248.38, 7307.18, 7248.38, 7302.42
10/31/19, 7330.78, 7335.16, 7245.23, 7248.38
10/30/19, 7306.26, 7334.04, 7278.18, 7330.78
10/29/19, 7331.28, 7335.73, 7264.74, 7306.26
10/28/19, 7324.47, 7346.92, 7291.59, 7331.28
10/25/19, 7328.25, 7331.17, 7279.78, 7324.47
10/24/19, 7260.74, 7338.87, 7255.46, 7328.25
10/23/19, 7212.49, 7265.86, 7194.13, 7260.74
10/22/19, 7163.64, 7230.17, 7146.69, 7212.49
10/21/19, 7150.57, 7197.53, 7139.38, 7163.64
10/18/19, 7182.32, 7197.14, 7146.11, 7150.57
10/17/19, 7167.95, 7237.78, 7162.04, 7182.32
10/16/19, 7211.64, 7217.63, 7149.84, 7167.95
10/15/19, 7213.45, 7242.37, 7176.67, 7211.64
10/14/19, 7247.08, 7251.80, 7194.21, 7213.45
10/11/19, 7186.36, 7250.09, 7144.66, 7247.08
10/10/19, 7166.50, 7212.90, 7130.52, 7186.36
10/09/19, 7143.15, 7196.41, 7139.90, 7166.50
10/08/19, 7197.88, 7223.86, 7143.15, 7143.15
10/07/19, 7155.38, 7206.89, 7132.98, 7197.88
10/04/19, 7077.64, 7157.75, 7077.40, 7155.38
10/03/19, 7122.54, 7129.02, 7004.43, 7077.64
10/02/19, 7360.32, 7360.32, 7119.72, 7122.54
10/01/19, 7408.21, 7433.24, 7352.83, 7360.32
09/30/19, 7426.21, 7439.62, 7402.20, 7408.21
09/27/19, 7351.08, 7440.77, 7351.00, 7426.21
09/26/19, 7289.99, 7387.09, 7277.15, 7351.08
09/25/19, 7291.43, 7292.00, 7212.96, 7289.99
09/24/19, 7326.08, 7348.97, 7281.91, 7291.43
09/23/19, 7344.92, 7362.30, 7284.75, 7326.08
09/20/19, 7356.42, 7376.31, 7322.01, 7344.92
09/19/19, 7314.05, 7373.08, 7290.69, 7356.42
09/18/19, 7320.40, 7350.52, 7300.37, 7314.05
09/17/19, 7321.41, 7350.24, 7292.23, 7320.40
09/16/19, 7367.46, 7378.32, 7321.41, 7321.41
09/13/19, 7344.67, 7380.29, 7318.23, 7367.46
09/12/19, 7338.03, 7369.34, 7303.17, 7344.67
09/11/19, 7267.95, 7346.71, 7267.95, 7338.03
09/10/19, 7235.81, 7270.50, 7199.40, 7267.95
09/09/19, 7282.34, 7325.21, 7205.98, 7235.81
09/06/19, 7271.17, 7284.11, 7244.13, 7282.34
09/05/19, 7311.26, 7330.71, 7250.63, 7271.17
09/04/19, 7268.19, 7334.55, 7268.19, 7311.26
09/03/19, 7281.94, 7301.47, 7239.10, 7268.19
09/02/19, 7207.18, 7315.26, 7206.90, 7281.94
08/30/19, 7184.32, 7240.37, 7179.70, 7207.18
08/29/19, 7114.71, 7199.20, 7103.12, 7184.32
08/28/19, 7089.58, 7131.21, 7050.00, 7114.71
08/27/19, 7094.98, 7110.76, 7044.73, 7089.58
08/23/19, 7128.18, 7188.59, 7094.98, 7094.98
08/22/19, 7203.97, 7203.97, 7103.67, 7128.18
08/21/19, 7125.00, 7215.53, 7122.12, 7203.97
08/20/19, 7189.65, 7231.65, 7121.24, 7125.00
08/19/19, 7117.15, 7214.23, 7117.15, 7189.65
08/16/19, 7067.01, 7125.90, 7067.01, 7117.15
08/15/19, 7147.88, 7148.75, 7020.22, 7067.01
08/14/19, 7250.90, 7268.73, 7112.05, 7147.88
08/13/19, 7226.72, 7281.14, 7166.86, 7250.90
08/12/19, 7253.85, 7305.56, 7207.46, 7226.72
08/09/19, 7285.90, 7297.28, 7237.13, 7253.85
08/08/19, 7198.70, 7285.90, 7191.25, 7285.90
08/07/19, 7171.69, 7237.88, 7153.89, 7198.70
08/06/19, 7223.85, 7241.57, 7166.98, 7171.69
08/05/19, 7407.06, 7407.06, 7200.54, 7223.85
08/02/19, 7584.87, 7585.24, 7397.91, 7407.06
08/01/19, 7586.78, 7609.98, 7535.90, 7584.87
07/31/19, 7646.77, 7648.20, 7576.12, 7586.78
07/30/19, 7686.61, 7727.49, 7643.65, 7646.77
07/29/19, 7549.06, 7711.34, 7548.86, 7686.61
07/26/19, 7489.05, 7553.55, 7486.74, 7549.06
07/25/19, 7501.46, 7542.64, 7462.73, 7489.05
07/24/19, 7556.86, 7558.01, 7479.07, 7501.46
07/23/19, 7514.93, 7598.60, 7514.93, 7556.86
07/22/19, 7508.70, 7549.71, 7491.79, 7514.93
07/19/19, 7493.09, 7546.65, 7475.49, 7508.70
07/18/19, 7535.46, 7535.46, 7482.60, 7493.09
07/17/19, 7577.20, 7577.20, 7519.22, 7535.46
07/16/19, 7531.72, 7590.07, 7524.52, 7577.20
07/15/19, 7505.97, 7548.33, 7487.44, 7531.72
07/12/19, 7509.82, 7537.10, 7493.80, 7505.97
07/11/19, 7530.69, 7558.34, 7501.66, 7509.82
07/10/19, 7536.47, 7559.12, 7515.61, 7530.69
07/09/19, 7549.27, 7553.30, 7517.94, 7536.47
07/08/19, 7553.14, 7571.34, 7538.67, 7549.27
07/05/19, 7603.58, 7603.61, 7541.86, 7553.14
07/04/19, 7609.32, 7622.58, 7601.33, 7603.58
07/03/19, 7559.19, 7621.02, 7558.47, 7609.32
07/02/19, 7497.50, 7565.27, 7497.50, 7559.19
07/01/19, 7425.63, 7530.24, 7425.63, 7497.50
06/28/19, 7402.33, 7436.18, 7398.92, 7425.63
06/27/19, 7416.39, 7439.43, 7375.51, 7402.33
06/26/19, 7422.43, 7435.90, 7405.54, 7416.39
06/25/19, 7416.69, 7429.72, 7373.22, 7422.43
06/24/19, 7407.50, 7435.54, 7399.56, 7416.69
06/21/19, 7424.44, 7456.79, 7382.94, 7407.50
06/20/19, 7403.54, 7460.83, 7403.54, 7424.44
06/19/19, 7443.04, 7454.93, 7399.17, 7403.54
06/18/19, 7357.31, 7469.19, 7345.55, 7443.04
06/17/19, 7345.78, 7370.70, 7324.54, 7357.31
06/14/19, 7368.57, 7368.80, 7316.44, 7345.78
06/13/19, 7367.62, 7398.61, 7350.98, 7368.57
06/12/19, 7398.45, 7398.45, 7329.26, 7367.62
06/11/19, 7375.54, 7420.73, 7375.54, 7398.45
06/10/19, 7331.94, 7380.14, 7331.94, 7375.54
06/07/19, 7259.85, 7347.41, 7258.16, 7331.94
06/06/19, 7220.22, 7275.66, 7218.67, 7259.85
06/05/19, 7216.74, 7259.24, 7201.36, 7220.22
06/04/19, 7184.80, 7223.96, 7138.14, 7214.29
06/03/19, 7161.71, 7186.71, 7079.71, 7184.80
05/31/19, 7218.16, 7218.16, 7130.85, 7161.71
05/30/19, 7185.30, 7236.68, 7180.57, 7218.16
05/29/19, 7268.95, 7268.95, 7151.37, 7185.30
05/28/19, 7277.73, 7314.85, 7262.80, 7268.95
05/24/19, 7231.04, 7303.04, 7231.01, 7277.73
05/23/19, 7334.19, 7334.19, 7211.33, 7231.04
05/22/19, 7328.92, 7373.27, 7313.55, 7334.19
05/21/19, 7310.88, 7370.02, 7310.88, 7328.92
05/20/19, 7348.62, 7360.34, 7268.63, 7310.88
05/17/19, 7353.51, 7354.22, 7307.33, 7348.62
05/16/19, 7296.95, 7353.51, 7265.77, 7353.51
05/15/19, 7241.60, 7308.10, 7223.08, 7296.95
05/14/19, 7163.68, 7241.60, 7163.68, 7241.60
05/13/19, 7203.29, 7217.12, 7150.89, 7163.68
05/10/19, 7207.41, 7268.17, 7189.86, 7203.29
05/09/19, 7271.00, 7271.00, 7192.18, 7207.41
05/08/19, 7260.47, 7278.32, 7222.88, 7271.00
05/07/19, 7380.64, 7380.64, 7251.03, 7260.47
05/03/19, 7351.31, 7418.17, 7350.01, 7380.64
05/02/19, 7385.26, 7393.94, 7339.45, 7351.31
05/01/19, 7385.26, 7446.46, 7379.65, 7385.26
04/30/19, 7440.66, 7451.32, 7394.07, 7418.22
04/29/19, 7428.19, 7456.49, 7406.53, 7440.66
04/26/19, 7434.13, 7442.39, 7398.57, 7428.19
04/25/19, 7471.75, 7473.32, 7405.99, 7434.13
04/24/19, 7523.07, 7523.79, 7456.74, 7471.75
04/23/19, 7459.88, 7528.93, 7459.88, 7523.07
04/22/19, 7459.88, 7475.91, 7437.87, 7459.88
04/19/19, 7459.88, 7475.91, 7437.87, 7459.88
04/18/19, 7471.32, 7475.91, 7437.87, 7459.88
04/17/19, 7469.92, 7478.95, 7445.12, 7471.32
04/16/19, 7436.87, 7485.93, 7436.87, 7469.92
04/15/19, 7437.06, 7447.08, 7420.27, 7436.87
04/12/19, 7417.95, 7454.78, 7415.00, 7437.06
04/11/19, 7421.91, 7441.89, 7383.47, 7417.95
04/10/19, 7425.57, 7441.36, 7409.39, 7421.91
04/09/19, 7451.89, 7477.62, 7413.27, 7425.57
04/08/19, 7446.87, 7459.93, 7420.41, 7451.89
04/05/19, 7401.94, 7461.39, 7400.79, 7446.87
04/04/19, 7418.28, 7418.43, 7367.44, 7401.94
04/03/19, 7391.12, 7418.31, 7380.93, 7418.28
04/02/19, 7317.38, 7403.56, 7316.81, 7391.12
04/01/19, 7279.19, 7352.15, 7279.19, 7317.38
03/29/19, 7234.33, 7287.72, 7223.30, 7279.19
03/28/19, 7194.19, 7265.47, 7190.87, 7234.33
03/27/19, 7196.29, 7222.64, 7160.14, 7194.19
03/26/19, 7177.58, 7221.02, 7169.37, 7196.29
03/25/19, 7207.59, 7208.09, 7146.83, 7177.58
03/22/19, 7355.31, 7356.37, 7192.76, 7207.59
03/21/19, 7291.01, 7370.61, 7290.62, 7355.31
03/20/19, 7324.00, 7341.57, 7291.01, 7291.01
03/19/19, 7299.19, 7350.10, 7294.50, 7324.00
03/18/19, 7228.28, 7299.19, 7228.19, 7299.19
03/15/19, 7185.43, 7243.80, 7185.43, 7228.28
03/14/19, 7159.19, 7215.45, 7148.08, 7185.43
03/13/19, 7151.15, 7181.85, 7128.71, 7159.19
